Sentence,Aspects,Polarity
A 15 minute walk to the start of shops bars etc.,Location ,1
hotel nice n very clean,Value ,1
Only the park outside of the hotel was beautiful,Value ,1
Only the park outside of the hotel was beautiful,Surrounding ,1
No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam,Service ,0
No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam,Meal ,0
No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam,Staff ,0
No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam,Location ,0
Location was good and staff were ok It is cute hotel the breakfast range is nice Will go back,Location ,1
Location was good and staff were ok It is cute hotel the breakfast range is nice Will go back,Meal ,1
Location was good and staff were ok It is cute hotel the breakfast range is nice Will go back,Staff ,1
Location was good and staff were ok It is cute hotel the breakfast range is nice Will go back,Surrounding ,1
Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all,Room ,0
Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all,Service ,0
Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all,Staff ,0
Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all,Value ,0
Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you,Room ,0
Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you,Staff ,0
We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom,Room ,0
We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom,Value ,0
We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom,Location ,0
Apart from food everything is very bad,Meal ,0
excellent quality food for anyone of a vegetarian or vegan background,Meal ,1
excellent quality food for anyone of a vegetarian or vegan background,Quality ,1
Terrible shower slow elevator and had to wait to long 4 it,Service ,0
Everything horrible accommodation huge nose coming to my room also hearing neighbors always and very high music,Room ,0
Everything horrible accommodation huge nose coming to my room also hearing neighbors always and very high music,Service ,0
The hotel atmosphere and reception people bored to assist or answer a simple question,Service ,0
The hotel atmosphere and reception people bored to assist or answer a simple question,Staff ,0
The hotel atmosphere and reception people bored to assist or answer a simple question,Value ,0
The booking had said inclusive of breakfast then turned out not to be,Service ,0
The booking had said inclusive of breakfast then turned out not to be,Meal ,0
Hotel is getting a little old,Value ,0
Hotel is getting a little old,Location ,0
The Terrasse i was expecting more Spa is Poor Fitness is Poor Out of shape for a modern City,Service ,0
The Terrasse i was expecting more Spa is Poor Fitness is Poor Out of shape for a modern City,Facility ,0
Location is pretty good Minutes away from metro,Location ,1
Location is pretty good Minutes away from metro,Surrounding ,1
The driver shuttle who took me to the airport was friendly and professional,Location ,1
The staff were very friendly and helpful Close to several important sites I really enjoyed my short stay,Staff ,1
The staff were very friendly and helpful Close to several important sites I really enjoyed my short stay,Location ,1
The location was good besides that everything was absolutely terrible Probably the worst hotel experience I ve ever had,Location ,0
The location was good besides that everything was absolutely terrible Probably the worst hotel experience I ve ever had,Value ,0
The location was good besides that everything was absolutely terrible Probably the worst hotel experience I ve ever had,Surrounding ,0
The staff very helpful The bed so big,Room ,1
The staff very helpful The bed so big,Facility ,1
The staff very helpful The bed so big,Staff ,1
The Location was great a short walk from the main attractions and very Close to some excellent restaurants,Location ,1
The Location was great a short walk from the main attractions and very Close to some excellent restaurants,Service ,1
The Location was great a short walk from the main attractions and very Close to some excellent restaurants,Surrounding ,1
The Location was great a short walk from the main attractions and very Close to some excellent restaurants,Meal ,1
