Staff ,Service ,Meal ,Facility ,Value ,Location ,Room ,Surrounding ,Quality 
Good ,Desk ,Drink ,Pool ,Price ,Railway ,Bed ,Landmark ,Satisfactory 
Polite ,Check-in,Breakfast,Spa ,Amount ,View ,Dirty ,Monument ,Ample 
Helpful ,Check-out,Spicy  ,Wi-fi,Rate ,Station ,Clean  ,Temple ,Hygienic
Friendly ,Reliable ,Food,Gymnasium ,Cheap ,Airport ,Toilet,Mosque ,Proper
Reliable ,Fast ,Tasty ,Gym ,Worth ,Distance ,Bathroom ,Church ,Ambience
Quick ,Convenient,Tea,Internet ,Low ,Far ,Shower ,Restaurant ,Odour
People,Reception,Buffet ,Car Parking ,Money ,Close ,Dryer,Diner ,Smell 
Rude,Room Service,Bar ,Wireless ,Economical ,Convenient ,Fridge ,Mall ,Fault
Difficult,Poor,Restaurant ,Equipment,Reasonable ,Metro,View ,Market ,Problem
Extremely,Slow,Dinner ,Bed,Fee ,Train ,Small,Location,Negative
Polite ,Restaurant,Lunch ,Shower,Expensive ,Better,Door,Lighting,
Nice,Car,Brunch ,Station,little,Far ,Floor,Road,
Informed,Bar,Delicious,Old,great,little,Building,Departure,
Care,Carpet,Breakfast,Lobby,Pay,Walk,Standard,Park,
Annonying,Spa,Menu,Lift,Money ,Better,Comfortable,Outside,
Lovely,Booking,Buffet ,Limited,Time,Long,Window,,
Help,Heating,Dinner ,Near,Experience,Central,Uncomfortable,,
Efficient,Basic,Order,Light,Average,Great,Size,,
Nice,Disappointing,Variety,Walking,Worth ,Nearby,Double,,
Professional,Excellent,Fresh,Card,Family,Street,Access,,
,Extra,Cheap,Well,Charge,minute,Suite,,
,Recommend,,Rennovation,Really,,Inside,,
,Connection,,Blocked,Cost,,Available,,
,Work,,Low,Keeping,,Space,,
,Worst,,Great,Experience,,Soft,,
,Bedroom,,Taxi,Hotel,,Big,,
,Elevator,,Swimming Pool,,,Roof,,
,Furniture,,,Discount,,Empty,,
,Customer,,,,,Construction,,
,Except,,,,,Sheet,,
,Problem,,,,,Terrace,,
,Weak,,,,,Property,,
,Description,,,,,Shampoo,,
,Housekeeping,,,,,Soap,,
,Standard,,,,,,,
,Dining,,,,,,,
,Extremely,,,,,,,
,Clothes,,,,,,,
,Front Desk,,,,,,,
