SN,Aarrival City,Airline,Arrival,Current Date,Departure,Departure City,Ticket Price,Travel Date
0,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,309,1/21/2018
1,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
2,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
3,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
4,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
5,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
6,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
7,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
8,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
9,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
10,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
11,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
12,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
13,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
14,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
15,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
16,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
17,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
18,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
19,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
20,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
21,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
22,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
23,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
24,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,311,1/21/2018
25,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,314.6,1/21/2018
26,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,314.6,1/21/2018
27,AUS,Delta,Austin,1/16/2018,ABQ,Albuquerque,349,1/21/2018
28,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,359.6,1/21/2018
29,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,359.6,1/21/2018
30,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,359.6,1/21/2018
31,AUS,Alaska Airlines,Austin,1/16/2018,ABQ,Albuquerque,416.6,1/21/2018
32,AUS,,Austin,1/16/2018,ABQ,Albuquerque,441,1/21/2018
33,AUS,,Austin,1/16/2018,ABQ,Albuquerque,447.2,1/21/2018
34,AUS,,Austin,1/16/2018,ABQ,Albuquerque,482.2,1/21/2018
0,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/21/2018
1,DEN,Frontier Airlines,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/21/2018
2,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/21/2018
3,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/21/2018
4,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/21/2018
5,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,97,1/21/2018
6,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,97,1/21/2018
7,DEN,Boutique Air,Denver,1/16/2018,ABQ,Albuquerque,137,1/21/2018
8,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,213,1/21/2018
9,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,213,1/21/2018
10,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,213,1/21/2018
11,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,213,1/21/2018
12,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,213,1/21/2018
13,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,213,1/21/2018
14,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,253,1/21/2018
15,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,253,1/21/2018
16,DEN,,Denver,1/16/2018,ABQ,Albuquerque,642.4,1/21/2018
17,DEN,,Denver,1/16/2018,ABQ,Albuquerque,832.8,1/21/2018
0,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,180,1/21/2018
1,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,180,1/21/2018
2,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/21/2018
3,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/21/2018
4,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/21/2018
5,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/21/2018
6,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/21/2018
7,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,240,1/21/2018
8,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,240,1/21/2018
9,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,240,1/21/2018
10,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,240,1/21/2018
11,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,240,1/21/2018
12,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,240,1/21/2018
13,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,250,1/21/2018
14,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,250,1/21/2018
15,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,260,1/21/2018
16,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,282,1/21/2018
17,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,282,1/21/2018
18,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,290.4,1/21/2018
19,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,298.4,1/21/2018
20,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,298.4,1/21/2018
21,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,302,1/21/2018
22,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,302,1/21/2018
