len,ID,Date,Source,Likes,RTs,SA,Text,location
117,DesthaPermadi,2018-03-20,Instagram,0,0,0,b'Shadow of the day... #iamalaska #alaskaairlines #horizonair #q400 #chesteralliance #avgeek\xe2\x80\xa6 https://t.co/x4rIUeZwxT',
124,GritCityPhoto,2018-03-19,Instagram,1,0,1,b'That mountain. \xe2\x80\xa2\n@mtrainierwatch south_sound_proud @alaskaair #iflyalaska #alaskaairlines #q400\xe2\x80\xa6 https://t.co/GFwM4FcAOV',"Tacoma, Washington"
108,ATRadwan,2018-03-18,Instagram,1,0,1,b'Graz Airport [3/12]: Fly Away!\n\n#lowg #grz #flughafengraz\n#dash8 #q400 #dash8q400\xe2\x80\xa6 https://t.co/ZdxBHursXn',"Cairo, Egypt"
60,skarthikb4u,2018-03-18,Twitter for iPhone,0,0,1,b'Okay. I definitely don\xe2\x80\x99t like it flying a turboprop. #q400',"Cypress, CA"
142,vasilrambi,2018-03-17,Twitter for iPhone,0,1,0,b'RT @Delta_Pops: Last weekend at Vienna.\n@_austrian #Bombardier #Dash8 #Q400 OE-LGI\n#avgeek #austria #Wein #Vienna #Schwechat https://t.co/H\xe2\x80\xa6',"Richmond Hill, Toronto & Montréal"
132,Delta_Pops,2018-03-17,Twitter Web Client,10,1,0,b'Last weekend at Vienna.\n@_austrian #Bombardier #Dash8 #Q400 OE-LGI\n#avgeek #austria #Wein #Vienna #Schwechat https://t.co/HBeIVeJWxT',North Pennines. North England. U.K.
142,vasilrambi,2018-03-16,Twitter for iPhone,0,1,1,b'RT @mikeymckenna: @mmsBA #wingfriday From From Thursday this week... Interesting how the Camera shows the prop blades on the #Q400-8 https:\xe2\x80\xa6',"Richmond Hill, Toronto & Montréal"
141,AvgeekJoe,2018-03-16,TweetDeck,0,6,-1,"b'RT @blindedbtflash: Mad props, bro. Propeller-driven action on 06L @torontopearson.\n.\n.\n#pearsonpov #aviationphotography #instaplane #dh8d\xe2\x80\xa6'","Washington, USA"
141,yyztowerpics,2018-03-16,Twitter for Android,0,6,-1,"b'RT @blindedbtflash: Mad props, bro. Propeller-driven action on 06L @torontopearson.\n.\n.\n#pearsonpov #aviationphotography #instaplane #dh8d\xe2\x80\xa6'",CYYZ
141,AChamkila,2018-03-16,Twitter for iPhone,0,6,-1,"b'RT @blindedbtflash: Mad props, bro. Propeller-driven action on 06L @torontopearson.\n.\n.\n#pearsonpov #aviationphotography #instaplane #dh8d\xe2\x80\xa6'",Mrs. Sauga
141,PlaneSpotIsCool,2018-03-16,PlaneSpotterRetweet,0,6,-1,"b'RT @blindedbtflash: Mad props, bro. Propeller-driven action on 06L @torontopearson.\n.\n.\n#pearsonpov #aviationphotography #instaplane #dh8d\xe2\x80\xa6'",Worldwide
139,blindedbtflash,2018-03-16,IFTTT,6,6,-1,"b'Mad props, bro. Propeller-driven action on 06L @torontopearson.\n.\n.\n#pearsonpov #aviationphotography #instaplane\xe2\x80\xa6 https://t.co/M2wIDyTREZ'","Toronto, ON"
138,mikeymckenna,2018-03-16,Twitter for iPhone,2,1,1,b'@mmsBA #wingfriday From From Thursday this week... Interesting how the Camera shows the prop blades on the #Q400-8 https://t.co/QPpqdSHnfT',Cumbernauld near Glasgow
142,AvgeekJoe,2018-03-15,TweetDeck,0,3,1,b'RT @LievenRoesems: #Kathmandu #Bombardier #Q400 crash: Extraordinary exchange reveals runway mix-up https://t.co/zdqI5AhmU2 #aircrash #avge\xe2\x80\xa6',"Washington, USA"
142,PlaneSpotIsCool,2018-03-14,PlaneSpotterRetweet,0,3,1,b'RT @LievenRoesems: #Kathmandu #Bombardier #Q400 crash: Extraordinary exchange reveals runway mix-up https://t.co/zdqI5AhmU2 #aircrash #avge\xe2\x80\xa6',Worldwide
142,avgeekretweeter,2018-03-14,RoundTeam,0,3,1,b'RT @LievenRoesems: #Kathmandu #Bombardier #Q400 crash: Extraordinary exchange reveals runway mix-up https://t.co/zdqI5AhmU2 #aircrash #avge\xe2\x80\xa6',Read our daily updates at:
141,LievenRoesems,2018-03-14,Twitter Web Client,2,3,1,b'#Kathmandu #Bombardier #Q400 crash: Extraordinary exchange reveals runway mix-up https://t.co/zdqI5AhmU2 #aircrash\xe2\x80\xa6 https://t.co/fOABRJFCsi',"Dilbeek, België"
134,LievenRoesems,2018-03-14,Twitter Web Client,1,0,0,b'Two days ago a US-Bangla #Bombardier #Q400 crashed at #Kathmandu airport in #Nepal. https://t.co/8jFea1fZkQ\xe2\x80\xa6 https://t.co/R8BsnowF7J',"Dilbeek, België"
142,sylvainfaust,2018-03-13,Twitter for iPhone,0,1,0,b'RT @theFliegerFaust: ICYMI #Bombardier union seeks to block sale of #Toronto facility.       #downsview #avgeek #cdnpoli #ontario #TO #avia\xe2\x80\xa6',
139,theFliegerFaust,2018-03-13,RunnerCommonKeys,1,1,0,b'ICYMI #Bombardier union seeks to block sale of #Toronto facility.       #downsview #avgeek #cdnpoli #ontario #TO\xe2\x80\xa6 https://t.co/dUu5JZjNSw',
131,AJtheAviator,2018-03-13,Twitter for iPhone,0,1,0,b'RT @veryboeing: @karwundel @HomewoodSteve Jazz #Q400 and Air Transat #B737 holding short of RWY 24R in CYYZ https://t.co/iivJLIURI0',"San Diego, CA"
115,veryboeing,2018-03-13,Twitter for Android,4,1,0,b'@karwundel @HomewoodSteve Jazz #Q400 and Air Transat #B737 holding short of RWY 24R in CYYZ https://t.co/iivJLIURI0',"Nova Scotia, Canada"
142,prernachettri,2018-03-13,Twitter for Android,0,3,1,b'RT @Karma_Paljor: @flyspicejet #q400 takes off from #PakyongAirport in #Sikkim. This is surely going to be destination airport  #AvGeek htt\xe2\x80\xa6',"Gangtok,Sikkim,India"
142,vishalchauhan_1,2018-03-13,Twitter for iPhone,0,3,1,b'RT @Karma_Paljor: @flyspicejet #q400 takes off from #PakyongAirport in #Sikkim. This is surely going to be destination airport  #AvGeek htt\xe2\x80\xa6',"Gangtok, India"
142,TourismSikkim,2018-03-13,Twitter for iPad,0,3,1,b'RT @Karma_Paljor: @flyspicejet #q400 takes off from #PakyongAirport in #Sikkim. This is surely going to be destination airport  #AvGeek htt\xe2\x80\xa6',
142,const_shibalkov,2018-03-13,Twitter Web Client,0,9,0,b'RT @airwayslive: Bangladeshi #Bombardier #Q400 Crashes in #Nepal with 67 Passengers On Board \nhttps://t.co/csbQcA456H https://t.co/ujNbU557\xe2\x80\xa6',"Москва, Россия"
142,aviation_graz,2018-03-13,Twitter Web Client,0,0,0,b'\xe2\x9e\xa1 @_austrian\n\xe2\x9c\x88 Dash 8-402 OE-LGJ\n\xf0\x9f\x8c\x8d overhead landing at Graz Airport\n\n#OS260 #myAustrian #Q400 #FlughafenGraz\xe2\x80\xa6 https://t.co/gGGf4NwgJj',Austria
139,aviation_graz,2018-03-13,Twitter Web Client,0,0,0,b'\xe2\x9e\xa1 @_austrian\n\xe2\x9c\x88 Dash 8-402 OE-LGJ\n\xf0\x9f\x8c\x8d takeoff at Graz Airport\n\n#AUA #Q400 #OS259 #myAustrian #AviationVideos\xe2\x80\xa6 https://t.co/0LS8l8YDHt',Austria
161,avgeekretweeter,2018-03-13,RoundTeam,0,1,0,b'RT @aviation_graz: \xf0\x9f\x91\x8b WAVING PILOT \xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9c\x88\xef\xb8\x8f\n\xe2\x9e\xa1 @_austrian\n\xe2\x9c\x88 Dash 8-402 OE-LGH\n\xf0\x9f\x8c\x8d de-icing and takeoff at Graz Airport\n\n#Q400 #OS970 #myAustrian #a\xe2\x80\xa6',Read our daily updates at:
