len,ID,Date,Source,Likes,RTs,SA,Text,location
142,RayWMaker,2017-12-11,Twitter for iPad,0,6,1,b'RT @yulplanespotter: The #Cseries before and after shot! Quite the difference\nLooks pretty dam nice!\n@FlySWISS #CS300 https://t.co/fLwkUVPv\xe2\x80\xa6',Seattle Wa.
142,sylvainfaust,2017-12-11,Twitter for iPhone,0,1,1,b'No #duties on those #imported #Boeing #aircraft.  None on the new #B787 either. #cdnpoli #bombardier #polqc #quebec\xe2\x80\xa6 https://t.co/ddvXcKg0c6',
142,Clint009,2017-12-11,Twitter Web Client,0,3,1,b'RT @flightmode_: My new favourite aircraft. The #CSeries is awsome! And @airBaltic has liftet the comfort level bigtime compared to the 737\xe2\x80\xa6',Canada
144,AviationAnalyti,2017-12-11,Twittimer,0,0,0,b'#EasyJet\xe2\x80\x99s incoming CEO Johan Lundgren faces some big challenges (Independent https://t.co/ChfnMlbb8r). This is wha\xe2\x80\xa6 https://t.co/bfL0goK3Vv',
142,theFliegerFaust,2017-12-11,Twitter for iPad,0,1,0,"b'RT @sylvainfaust: ICYMI #Boeing, Enough With the Hypocrisy.  #UK #London #Belfast #Ireland #Trade #Jobs  #aviation #bombardier #airbus #NAF\xe2\x80\xa6'",
142,theFliegerFaust,2017-12-11,Twitter for iPad,0,1,0,b'RT @sylvainfaust: OPINION: #CSeries deal presents wider opportunity.  #Bombardier #Boeing #BackBombardier #UK #Belfast #London #Ireland #Ca\xe2\x80\xa6',
133,derloos,2017-12-11,Tweetbot for iΟS,0,0,-1,b'@papadimitriou @cubedweller @FlySWISS Yay! I tried to book Cseries on the VCE - ZRH route last April only to see my hopes crushed :-(',"Moscow, Russia"
143,derloos,2017-12-11,Tweetbot for iΟS,1,0,1,"b'@papadimitriou @cubedweller  SUPER giddy for my first ever arrival via LCY on a Cseries! Now @FlySWISS, don\xe2\x80\x99t mess\xe2\x80\xa6 https://t.co/JXc74XmDEr'","Moscow, Russia"
150,renegadestyle,2017-12-11,Twitter Web Client,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',Paris | London
135,sylvainfaust,2017-12-11,Hootsuite,0,1,0,"b'ICYMI #Boeing, Enough With the Hypocrisy.  #UK #London #Belfast #Ireland #Trade #Jobs  #aviation #bombardier\xe2\x80\xa6 https://t.co/5yN6SjiRam'",
